gamma,omega,M_m1,M_m2,M_m3,M_m4,Q
-350.0,-65000.0,9948149.332202192,-41285209.961295314,67669915.8600843,-92358429.1591524,1.023454799829441e+16
-350.0,-64000.0,9997963.71965054,-41292469.56476392,65597062.479182474,-91161900.2480119,1.0015560099585426e+16
-350.0,-63000.0,10047778.107098889,-41299729.16823252,63524209.098280646,-89965371.3368714,9799435669150518.0
-350.0,-62000.0,10097592.494547239,-41306988.77170113,61451355.71737882,-88768842.42573091,9586174706989688.0
-350.0,-61000.0,10147406.881995589,-41314248.37516973,59378502.336476974,-87572313.51459041,9375777213102930.0
-350.0,-60000.0,10197221.269443937,-41321507.978638336,57305648.955575146,-86375784.60344993,9168243187490248.0
-350.0,-59000.0,10247035.656892285,-41328767.58210694,55232795.57467332,-85179255.69230942,8963572630151640.0
-350.0,-58000.0,10296850.044340635,-41336027.185575545,53159942.19377149,-83982726.78116894,8761765541087110.0
-350.0,-57000.0,10346664.431788983,-41343286.78904415,51087088.81286966,-82786197.87002844,8562821920296654.0
-350.0,-56000.0,10396478.819237333,-41350546.39251275,49014235.43196783,-81589668.95888793,8366741767780270.0
-350.0,-55000.0,10446293.20668568,-41357805.99598136,46941382.051066004,-80393140.04774745,8173525083537966.0
-350.0,-54000.0,10496107.59413403,-41365065.59944996,44868528.670164175,-79196611.13660696,7983171867569737.0
-350.0,-53000.0,10545921.981582379,-41372325.20291857,42795675.28926235,-78000082.22546646,7795682119875580.0
-350.0,-52000.0,10595736.369030729,-41379584.80638717,40722821.90836052,-76803553.31432596,7611055840455498.0
-350.0,-51000.0,10645550.756479077,-41386844.409855776,38649968.52745869,-75607024.40318547,7429293029309493.0
-350.0,-50000.0,10695365.143927425,-41394104.01332439,36577115.14655686,-74410495.49204499,7250393686437565.0
-350.0,-49000.0,10745179.531375775,-41401363.61679299,34504261.76565503,-73213966.58090448,7074357811839710.0
-350.0,-48000.0,10794993.918824123,-41408623.220261596,32431408.384753205,-72017437.66976398,6901185405515928.0
-350.0,-47000.0,10844808.306272473,-41415882.8237302,30358555.00385136,-70820908.75862348,6730876467466222.0
-350.0,-46000.0,10894622.693720821,-41423142.427198805,28285701.622949533,-69624379.847483,6563430997690594.0
-350.0,-45000.0,10944437.081169171,-41430402.03066741,26212848.242047705,-68427850.93634251,6398848996189040.0
-350.0,-44000.0,10994251.46861752,-41437661.63413601,24139994.861145876,-67231322.025202,6237130462961560.0
-350.0,-43000.0,11044065.85606587,-41444921.23760462,22067141.480244048,-66034793.11406151,6078275398008156.0
-350.0,-42000.0,11093880.243514217,-41452180.84107322,19994288.09934222,-64838264.20292102,5922283801328827.0
-350.0,-41000.0,11143694.630962566,-41459440.44454183,17921434.71844039,-63641735.291780524,5769155672923573.0
-350.0,-40000.0,11193509.018410916,-41466700.04801043,15848581.337538563,-62445206.38064003,5618891012792395.0
-350.0,-39000.0,11243323.405859264,-41473959.651479036,13775727.956636734,-61248677.469499536,5471489820935291.0
-350.0,-38000.0,11293137.793307614,-41481219.25494764,11702874.575734906,-60052148.55835904,5326952097352263.0
-350.0,-37000.0,11342952.180755962,-41488478.858416244,9630021.194833077,-58855619.64721855,5185277842043310.0
-350.0,-36000.0,11392766.568204312,-41495738.461884856,7557167.813931249,-57659090.736078046,5046467055008431.0
-350.0,-35000.0,11442580.95565266,-41502998.06535346,5484314.433029421,-56462561.82493755,4910519736247628.0
-350.0,-34000.0,11492395.34310101,-41510257.668822065,3411461.0521275774,-55266032.91379706,4777435885760901.0
-350.0,-33000.0,11542209.730549358,-41517517.27229067,1338607.671225749,-54069504.002656564,4647215503548248.0
-350.0,-32000.0,11592024.117997706,-41524776.875759274,-734245.709676072,-52872975.09151607,4520397706371849.0
-350.0,-31000.0,11641838.505446056,-41532036.47922788,-2807099.0905779004,-51676446.180375576,4403244949249492.0
-350.0,-30000.0,11691652.892894406,-41539296.08269648,-4879952.471479736,-50479917.26923508,4297549102678643.0
-350.0,-29000.0,11741467.280342754,-41546555.68616509,-6952805.852381565,-49283388.35809459,4203310166659301.0
-350.0,-28000.0,11791281.667791102,-41553815.28963369,-9025659.233283393,-48086859.44695409,4120528141191466.0
-350.0,-27000.0,11841096.055239452,-41561074.893102296,-11098512.614185221,-46890330.5358136,4049203026275140.0
-350.0,-26000.0,11890910.4426878,-41568334.4965709,-13171365.99508705,-45693801.6246731,3989334821910320.0
-350.0,-25000.0,11940724.83013615,-41575594.100039504,-15244219.375988878,-44497272.71353261,3940923528097008.5
-350.0,-24000.0,11990539.217584498,-41582853.70350811,-17317072.756890707,-43300743.80239211,3903969144835203.0
-350.0,-23000.0,12040353.605032848,-41590113.30697671,-19389926.137792543,-42104214.891251616,3878471672124906.0
-350.0,-22000.0,12090167.992481196,-41597372.91044532,-21462779.51869437,-40907685.98011112,3864431109966116.5
-350.0,-21000.0,12139982.379929546,-41604632.51391393,-23535632.8995962,-39711157.06897063,3861847458358835.0
-350.0,-20000.0,12189796.767377894,-41611892.117382534,-25608486.280498028,-38514628.157830134,3870720717303060.0
-350.0,-19000.0,12239611.154826242,-41619151.72085114,-27681339.661399856,-37318099.24668964,3891050886798793.0
-350.0,-18000.0,12289425.542274592,-41626411.32431974,-29754193.042301685,-36121570.335549146,3922837966846033.0
-350.0,-17000.0,12339239.92972294,-41633670.92778835,-31827046.42320352,-34925041.424408644,3966081957444780.0
-350.0,-16000.0,12389054.31717129,-41640930.53125695,-33899899.80410534,-33728512.51326816,4020782858595035.0
-350.0,-15000.0,12438868.704619639,-41648190.134725556,-35972753.18500718,-32531983.60212766,4086940670296798.0
-350.0,-14000.0,12488683.092067989,-41655449.73819416,-38045606.565909006,-31335454.690987162,4164555392550068.0
-350.0,-13000.0,12538497.479516337,-41662709.341662765,-40118459.946810834,-30138925.77984667,4253627025354845.0
-350.0,-12000.0,12588311.866964687,-41669968.94513137,-42191313.32771266,-28942396.868706174,4354155568711130.0
-350.0,-11000.0,12638126.254413035,-41677228.54859997,-44264166.7086145,-27745867.95756568,4466141022618923.0
-350.0,-10000.0,12687940.641861383,-41684488.15206858,-46337020.08951633,-26549339.046425186,4589583387078222.0
-350.0,-9000.0,12737755.029309733,-41691747.75553718,-48409873.470418155,-25352810.135284692,4724482662089029.0
-350.0,-8000.0,12787569.416758081,-41699007.35900579,-50482726.85131998,-24156281.224144198,4870838847651344.0
-350.0,-7000.0,12837383.80420643,-41706266.9624744,-52555580.23222181,-22959752.3130037,5028651943765166.0
-350.0,-6000.0,12887198.191654779,-41713526.565943,-54628433.61312364,-21763223.401863206,5197921950430496.0
-350.0,-5000.0,12937012.579103129,-41720786.16941161,-56701286.99402547,-20566694.490722712,5378648867647333.0
-350.0,-4000.0,12986826.966551477,-41728045.77288021,-58774140.3749273,-19370165.579582218,5570832695415677.0
-350.0,-3000.0,13036641.353999827,-41735305.376348816,-60846993.755829126,-18173636.668441724,5774473433735529.0
-350.0,-2000.0,13086455.741448175,-41742564.97981742,-62919847.13673096,-16977107.757301226,5989571082606888.0
-350.0,-1000.0,13136270.128896525,-41749824.583286025,-64992700.51763279,-15780578.846160732,6216125642029756.0
-350.0,0.0,13186084.516344873,-41757084.18675463,-67065553.89853462,-14584049.935020238,6454137112004130.0
-350.0,1000.0,13235898.903793221,-41764343.79022323,-69138407.27943645,-13387521.023879744,6703605492530012.0
-350.0,2000.0,13285713.291241571,-41771603.39369184,-71211260.66033828,-12190992.112739248,6964530783607401.0
-350.0,3000.0,13335527.67868992,-41778862.99716044,-73284114.04124011,-10994463.201598754,7236912985236297.0
-350.0,4000.0,13385342.06613827,-41786122.60062905,-75356967.42214194,-9797934.290458258,7520752097416702.0
-350.0,5000.0,13435156.453586617,-41793382.20409765,-77429820.80304377,-8601405.379317764,7816048120148612.0
-350.0,6000.0,13484970.841034967,-41800641.807566255,-79502674.1839456,-7404876.468177269,8122801053432031.0
-350.0,7000.0,13534785.228483316,-41807901.41103486,-81575527.56484742,-6208347.557036775,8441010897266956.0
-350.0,8000.0,13584599.615931666,-41815161.01450347,-83648380.94574925,-5011818.64589628,8770677651653392.0
-350.0,9000.0,13634414.003380014,-41822420.617972076,-85721234.32665108,-3815289.734755786,9111801316591332.0
-350.0,10000.0,13684228.390828364,-41829680.22144068,-87794087.70755291,-2618760.82361529,9464381892080780.0
-350.0,11000.0,13734042.778276712,-41836939.824909285,-89866941.08845474,-1422231.9124747962,9828419378121736.0
-350.0,12000.0,13783857.16572506,-41844199.42837789,-91939794.46935657,-225703.00133430026,1.02039137747142e+16
-350.0,13000.0,13833671.55317341,-41851459.03184649,-94012647.85025841,970825.9098061938,1.0589922578911022e+16
-350.0,14000.0,13883485.940621758,-41858718.6353151,-96085501.23116022,2167354.820946688,1.0984575872633768e+16
-350.0,15000.0,13933300.328070108,-41865978.2387837,-98158354.61206207,3363883.7320871837,1.1387822714037636e+16
-350.0,16000.0,13983114.715518456,-41873237.84225231,-100231207.9929639,4560412.643227678,1.179966310312262e+16
-350.0,17000.0,14032929.102966806,-41880497.44572091,-102304061.37386572,5756941.554368172,1.222009703988872e+16
-350.0,18000.0,14082743.490415154,-41887757.049189515,-104376914.75476755,6953470.465508666,1.2649124524335938e+16
-350.0,19000.0,14132557.877863504,-41895016.65265812,-106449768.13566938,8149999.376649164,1.3086745556464274e+16
-350.0,20000.0,14182372.265311852,-41902276.256126724,-108522621.51657121,9346528.287789658,1.3532960136273726e+16
-350.0,21000.0,14232186.6527602,-41909535.85959533,-110595474.89747304,10543057.198930152,1.3987768263764294e+16
-350.0,22000.0,14282001.04020855,-41916795.46306394,-112668328.27837487,11739586.110070646,1.4451169938935984e+16
-350.0,23000.0,14331815.427656898,-41924055.066532545,-114741181.6592767,12936115.02121114,1.4923165161788788e+16
-350.0,24000.0,14381629.815105248,-41931314.67000115,-116814035.04017854,14132643.932351638,1.5403753932322714e+16
-350.0,25000.0,14431444.202553596,-41938574.27346975,-118886888.42108035,15329172.843492132,1.5892936250537748e+16
-350.0,26000.0,14481258.590001946,-41945833.87693836,-120959741.8019822,16525701.754632626,1.6390712116433908e+16
-350.0,27000.0,14531072.977450294,-41953093.48040696,-123032595.18288401,17722230.66577312,1.689708153001118e+16
-350.0,28000.0,14580887.364898644,-41960353.08387557,-125105448.56378585,18918759.576913614,1.7412044491269574e+16
-350.0,29000.0,14630701.752346992,-41967612.68734417,-127178301.94468766,20115288.48805411,1.7935601000209078e+16
-350.0,30000.0,14680516.13979534,-41974872.290812775,-129251155.32558951,21311817.399194606,1.8467751056829708e+16
-350.0,31000.0,14730330.52724369,-41982131.89428138,-131324008.70649134,22508346.3103351,1.900849466113145e+16
-350.0,32000.0,14780144.91469204,-41989391.497749984,-133396862.08739316,23704875.221475594,1.955783181311431e+16
-350.0,33000.0,14829959.302140389,-41996651.10121859,-135469715.46829498,24901404.132616088,2.0115762512778284e+16
-350.0,34000.0,14879773.689588737,-42003910.70468719,-137542568.84919682,26097933.04375658,2.0682286760123384e+16
-350.0,35000.0,14929588.077037087,-42011170.3081558,-139615422.23009866,27294461.954897076,2.12574045551496e+16
-350.0,36000.0,14979402.464485435,-42018429.9116244,-141688275.61100048,28490990.86603757,2.1841115897856924e+16
-350.0,37000.0,15029216.851933785,-42025689.51509301,-143761128.99190232,29687519.77717807,2.243342078824538e+16
-350.0,38000.0,15079031.239382133,-42032949.11856162,-145833982.37280414,30884048.688318565,2.3034319226314936e+16
-350.0,39000.0,15128845.626830483,-42040208.72203022,-147906835.75370598,32080577.59945906,2.3643811212065624e+16
-350.0,40000.0,15178660.014278831,-42047468.32549883,-149979689.1346078,33277106.510599554,2.426189674549742e+16
-350.0,41000.0,15228474.40172718,-42054727.92896743,-152052542.51550964,34473635.42174005,2.4888575826610336e+16
-350.0,42000.0,15278288.789175529,-42061987.532436036,-154125395.89641145,35670164.33288054,2.552384845540437e+16
-350.0,43000.0,15328103.176623877,-42069247.13590464,-156198249.2773133,36866693.244021036,2.6167714631879524e+16
-350.0,44000.0,15377917.564072227,-42076506.739373244,-158271102.6582151,38063222.15516153,2.6820174356035784e+16
-350.0,45000.0,15427731.951520575,-42083766.34284185,-160343956.03911695,39259751.066302024,2.7481227627873176e+16
-350.0,46000.0,15477546.338968925,-42091025.94631045,-162416809.42001876,40456279.97744252,2.8150874447391676e+16
-350.0,47000.0,15527360.726417273,-42098285.54977906,-164489662.8009206,41652808.88858301,2.88291148145913e+16
-350.0,48000.0,15577175.113865623,-42105545.15324766,-166562516.18182245,42849337.79972351,2.951594872947204e+16
-350.0,49000.0,15626989.501313971,-42112804.756716266,-168635369.56272426,44045866.71086401,3.0211376192033892e+16
-350.0,50000.0,15676803.888762321,-42120064.36018487,-170708222.9436261,45242395.6220045,3.091539720227687e+16
-350.0,51000.0,15726618.27621067,-42127323.96365348,-172781076.32452792,46438924.533144996,3.1628011760200956e+16
-350.0,52000.0,15776432.663659018,-42134583.56712209,-174853929.70542976,47635453.44428549,3.234921986580617e+16
-350.0,53000.0,15826247.051107368,-42141843.17059069,-176926783.08633158,48831982.35542598,3.3079021519092484e+16
-350.0,54000.0,15876061.438555716,-42149102.774059296,-178999636.46723342,50028511.26656648,3.3817416720059932e+16
-350.0,55000.0,15925875.826004066,-42156362.3775279,-181072489.84813523,51225040.17770697,3.4564405468708484e+16
-350.0,56000.0,15975690.213452414,-42163621.980996504,-183145343.22903708,52421569.088847466,3.531998776503817e+16
-350.0,57000.0,16025504.600900764,-42170881.58446511,-185218196.6099389,53618097.99998796,3.608416360904896e+16
-350.0,58000.0,16075318.988349112,-42178141.18793371,-187291049.99084073,54814626.91112846,3.685693300074087e+16
-350.0,59000.0,16125133.375797462,-42185400.79140232,-189363903.37174255,56011155.82226895,3.7638295940113896e+16
-350.0,60000.0,16174947.76324581,-42192660.39487092,-191436756.7526444,57207684.73340945,3.842825242716805e+16
-350.0,61000.0,16224762.150694158,-42199919.99833953,-193509610.1335462,58404213.644549936,3.9226802461903304e+16
-350.0,62000.0,16274576.538142508,-42207179.60180813,-195582463.51444805,59600742.55569044,4.003394604431969e+16
-350.0,63000.0,16324390.925590858,-42214439.205276735,-197655316.8953499,60797271.466830924,4.084968317441719e+16
-350.0,64000.0,16374205.313039206,-42221698.80874534,-199728170.2762517,61993800.377971426,4.16740138521958e+16
-350.0,65000.0,16424019.700487554,-42228958.412213944,-201801023.65715355,63190329.28911193,4.2506938077655544e+16
-350.0,66000.0,16473834.087935904,-42236218.015682556,-203873877.03805536,64386858.200252414,4.334845585079638e+16
-350.0,67000.0,16523648.475384252,-42243477.61915116,-205946730.4189572,65583387.111392915,4.419856717161836e+16
-350.0,68000.0,16573462.862832602,-42250737.222619765,-208019583.79985902,66779916.0225334,4.505727204012143e+16
-350.0,69000.0,16623277.25028095,-42257996.82608837,-210092437.18076086,67976444.9336739,4.592457045630565e+16
-350.0,70000.0,16673091.637729298,-42265256.42955697,-212165290.5616627,69172973.84481439,4.680046242017097e+16
-350.0,71000.0,16722906.025177648,-42272516.03302558,-214238143.94256452,70369502.75595489,4.76849479317174e+16
-350.0,72000.0,16772720.412625998,-42279775.63649418,-216310997.32346636,71566031.66709538,4.857802699094496e+16
-350.0,73000.0,16822534.800074346,-42287035.23996279,-218383850.70436817,72762560.57823588,4.9479699597853624e+16
-350.0,74000.0,16872349.187522694,-42294294.84343139,-220456704.08527002,73959089.48937638,5.0389965752443416e+16
-350.0,75000.0,16922163.574971043,-42301554.446899995,-222529557.46617183,75155618.40051687,5.130882545471432e+16
-350.0,76000.0,16971977.962419394,-42308814.0503686,-224602410.84707367,76352147.31165737,5.2236278704666344e+16
-350.0,77000.0,17021792.349867743,-42316073.653837204,-226675264.2279755,77548676.22279786,5.317232550229948e+16
-350.0,78000.0,17071606.73731609,-42323333.25730581,-228748117.60887733,78745205.13393836,5.411696584761374e+16
-350.0,79000.0,17121421.12476444,-42330592.86077441,-230820970.98977914,79941734.04507884,5.507019974060911e+16
-350.0,80000.0,17171235.51221279,-42337852.464243025,-232893824.370681,81138262.95621935,5.603202718128561e+16
-350.0,81000.0,17221049.89966114,-42345112.06771163,-234966677.7515828,82334791.86735983,5.700244816964322e+16
-350.0,82000.0,17270864.287109487,-42352371.67118023,-237039531.13248464,83531320.77850033,5.798146270568195e+16
-350.0,83000.0,17320678.674557835,-42359631.27464884,-239112384.5133865,84727849.68964082,5.89690707894018e+16
-350.0,84000.0,17370493.062006183,-42366890.87811744,-241185237.8942883,85924378.60078132,5.996527242080275e+16
-350.0,85000.0,17420307.449454535,-42374150.48158605,-243258091.27519014,87120907.51192182,6.097006759988483e+16
-350.0,86000.0,17470121.836902883,-42381410.08505465,-245330944.65609196,88317436.42306231,6.198345632664803e+16
-350.0,87000.0,17519936.22435123,-42388669.688523255,-247403798.0369938,89513965.33420281,6.3005438601092344e+16
-350.0,88000.0,17569750.61179958,-42395929.29199186,-249476651.41789562,90710494.2453433,6.403601442321778e+16
-350.0,89000.0,17619564.99924793,-42403188.895460464,-251549504.79879746,91907023.1564838,6.507518379302433e+16
-350.0,90000.0,17669379.38669628,-42410448.49892907,-253622358.17969927,93103552.06762429,6.612294671051198e+16
-350.0,91000.0,17719193.774144627,-42417708.10239767,-255695211.56060112,94300080.97876479,6.7179303175680776e+16
-350.0,92000.0,17769008.161592975,-42424967.70586628,-257768064.94150293,95496609.88990527,6.824425318853067e+16
-350.0,93000.0,17818822.549041323,-42432227.30933488,-259840918.32240477,96693138.80104578,6.931779674906169e+16
-350.0,94000.0,17868636.936489675,-42439486.912803486,-261913771.7033066,97889667.71218626,7.0399933857273816e+16
-350.0,95000.0,17918451.323938023,-42446746.5162721,-263986625.08420843,99086196.62332676,7.149066451316708e+16
-350.0,96000.0,17968265.71138637,-42454006.1197407,-266059478.46511027,100282725.53446727,7.258998871674146e+16
-350.0,97000.0,18018080.098834723,-42461265.72320931,-268132331.8460121,101479254.44560775,7.369790646799693e+16
-350.0,98000.0,18067894.48628307,-42468525.32667791,-270205185.2269139,102675783.35674825,7.481441776693355e+16
-350.0,99000.0,18117708.87373142,-42475784.930146515,-272278038.60781574,103872312.26788874,7.593952261355126e+16
-350.0,100000.0,18167523.261179768,-42483044.53361512,-274350891.98871756,105068841.17902924,7.707322100785008e+16
-345.0,-100000.0,7926411.461936574,-40317119.300086446,140219883.4023536,-134239689.12727934,1.9645764245646004e+16
-345.0,-99000.0,7976225.849384923,-40324378.90355505,138147030.02145177,-133043160.21613882,1.932653801425466e+16
-345.0,-98000.0,8026040.2368332725,-40331638.507023655,136074176.64054996,-131846631.30499834,1.90101752511374e+16
-345.0,-97000.0,8075854.624281621,-40338898.11049226,134001323.25964811,-130650102.39385784,1.8696675956294216e+16
-345.0,-96000.0,8125669.01172997,-40346157.71396086,131928469.8787463,-129453573.48271735,1.8386040129725104e+16
-345.0,-95000.0,8175483.399178319,-40353417.31742947,129855616.49784446,-128257044.57157685,1.8078267771430068e+16
-345.0,-94000.0,8225297.786626668,-40360676.92089808,127782763.11694261,-127060515.66043635,1.7773358881409104e+16
-345.0,-93000.0,8275112.174075017,-40367936.524366684,125709909.7360408,-125863986.74929586,1.7471313459662222e+16
-345.0,-92000.0,8324926.561523366,-40375196.12783529,123637056.35513896,-124667457.83815536,1.717213150618941e+16
-345.0,-91000.0,8374740.948971715,-40382455.73130389,121564202.97423714,-123470928.92701487,1.6875813020990676e+16
-345.0,-90000.0,8424555.336420063,-40389715.3347725,119491349.5933353,-122274400.01587437,1.6582358004066014e+16
-345.0,-89000.0,8474369.723868413,-40396974.9382411,117418496.21243349,-121077871.10473388,1.6291766455415432e+16
-345.0,-88000.0,8524184.111316763,-40404234.541709706,115345642.83153164,-119881342.19359338,1.6004038375038922e+16
-345.0,-87000.0,8573998.498765111,-40411494.14517831,113272789.45062983,-118684813.2824529,1.5719173762936488e+16
-345.0,-86000.0,8623812.88621346,-40418753.748646915,111199936.06972799,-117488284.3713124,1.5437172619108128e+16
-345.0,-85000.0,8673627.273661807,-40426013.35211552,109127082.68882617,-116291755.46017191,1.5158034943553844e+16
-345.0,-84000.0,8723441.661110157,-40433272.955584124,107054229.30792433,-115095226.5490314,1.4881760736273634e+16
-345.0,-83000.0,8773256.048558507,-40440532.55905273,104981375.92702252,-113898697.6378909,1.46083499972675e+16
-345.0,-82000.0,8823070.436006855,-40447792.16252133,102908522.54612067,-112702168.72675042,1.4337802726535442e+16
-345.0,-81000.0,8872884.823455203,-40455051.76598994,100835669.16521883,-111505639.81560992,1.4070118924077458e+16
-345.0,-80000.0,8922699.210903553,-40462311.36945854,98762815.78431702,-110309110.90446943,1.380529858989355e+16
-345.0,-79000.0,8972513.598351901,-40469570.97292715,96689962.40341517,-109112581.99332893,1.3543341723983716e+16
-345.0,-78000.0,9022327.985800251,-40476830.57639576,94617109.02251336,-107916053.08218844,1.328424832634796e+16
-345.0,-77000.0,9072142.3732486,-40484090.17986436,92544255.64161152,-106719524.17104794,1.3028018396986276e+16
-345.0,-76000.0,9121956.76069695,-40491349.783332966,90471402.2607097,-105522995.25990745,1.277465193589867e+16
-345.0,-75000.0,9171771.148145298,-40498609.38680157,88398548.87980786,-104326466.34876695,1.2524148943085136e+16
-345.0,-74000.0,9221585.535593648,-40505868.990270175,86325695.49890605,-103129937.43762647,1.227650941854568e+16
-345.0,-73000.0,9271399.923041996,-40513128.59373878,84252842.1180042,-101933408.52648596,1.2031733362280296e+16
-345.0,-72000.0,9321214.310490344,-40520388.197207384,82179988.73710239,-100736879.61534546,1.1789820774288988e+16
-345.0,-71000.0,9371028.697938694,-40527647.80067599,80107135.35620055,-99540350.70420498,1.1550771654571758e+16
-345.0,-70000.0,9420843.085387044,-40534907.40414459,78034281.97529873,-98343821.79306448,1.13145860031286e+16
-345.0,-69000.0,9470657.472835392,-40542167.0076132,75961428.59439689,-97147292.88192399,1.108126381995952e+16
-345.0,-68000.0,9520471.86028374,-40549426.6110818,73888575.21349505,-95950763.97078349,1.0850805105064512e+16
-345.0,-67000.0,9570286.24773209,-40556686.214550406,71815721.83259323,-94754235.059643,1.0623209858443582e+16
-345.0,-66000.0,9620100.635180438,-40563945.81801901,69742868.45169139,-93557706.1485025,1.0398478080096724e+16
-345.0,-65000.0,9669915.022628788,-40571205.42148762,67670015.07078958,-92361177.23736201,1.0176609770023946e+16
-345.0,-64000.0,9719729.410077136,-40578465.02495623,65597161.689887755,-91164648.32622151,9957604928225238.0
-345.0,-63000.0,9769543.797525484,-40585724.62842483,63524308.308985926,-89968119.41508101,9741463554700606.0
-345.0,-62000.0,9819358.184973834,-40592984.231893435,61451454.9280841,-88771590.50394052,9528185649450052.0
-345.0,-61000.0,9869172.572422184,-40600243.83536204,59378601.547182254,-87575061.59280002,9317771212473570.0
-345.0,-60000.0,9918986.959870532,-40607503.438830644,57305748.166280426,-86378532.68165953,9110220243771166.0
-345.0,-59000.0,9968801.34731888,-40614763.04229925,55232894.7853786,-85182003.77051903,8905532743342836.0
-345.0,-58000.0,10018615.73476723,-40622022.64576785,53160041.40447677,-83985474.85937855,8703708711188582.0
-345.0,-57000.0,10068430.122215578,-40629282.24923646,51087188.02357494,-82788945.94823804,8504748147308402.0
-345.0,-56000.0,10118244.509663928,-40636541.85270506,49014334.64267311,-81592417.03709756,8308651051702298.0
-345.0,-55000.0,10168058.897112276,-40643801.456173666,46941481.261771284,-80395888.12595706,8115417424370268.0
-345.0,-54000.0,10217873.284560626,-40651061.05964227,44868627.880869456,-79199359.21481657,7925047265312314.0
-345.0,-53000.0,10267687.672008974,-40658320.663110875,42795774.49996763,-78002830.30367607,7737540574528435.0
-345.0,-52000.0,10317502.059457324,-40665580.26657948,40722921.1190658,-76806301.39253558,7552897352018631.0
-345.0,-51000.0,10367316.446905673,-40672839.87004808,38650067.73816397,-75609772.48139508,7371117597782902.0
-345.0,-50000.0,10417130.83435402,-40680099.473516695,36577214.35726214,-74413243.5702546,7192201311821250.0
-345.0,-49000.0,10466945.22180237,-40687359.0769853,34504360.97636031,-73216714.6591141,7016148494133670.0
-345.0,-48000.0,10516759.609250719,-40694618.680453904,32431507.595458485,-72020185.7479736,6842959144720169.0
-345.0,-47000.0,10566573.996699069,-40701878.28392251,30358654.214556642,-70823656.8368331,6672633263580740.0
-345.0,-46000.0,10616388.384147417,-40709137.88739111,28285800.833654813,-69627127.9256926,6505170850715386.0
-345.0,-45000.0,10666202.771595767,-40716397.49085972,26212947.452752985,-68430599.01455212,6340571906124108.0
-345.0,-44000.0,10716017.159044115,-40723657.09432832,24140094.071851157,-67234070.10341161,6178836429806906.0
-345.0,-43000.0,10765831.546492465,-40730916.697796926,22067240.69094933,-66037541.19227113,6019964421763778.0
-345.0,-42000.0,10815645.933940813,-40738176.30126553,19994387.3100475,-64841012.28113063,5863955881994726.0
-345.0,-41000.0,10865460.321389161,-40745435.904734135,17921533.92914567,-63644483.36999014,5710810810499749.0
-345.0,-40000.0,10915274.708837511,-40752695.50820274,15848680.548243843,-62447954.45884964,5560529207278846.0
-345.0,-39000.0,10965089.09628586,-40759955.11167134,13775827.167342015,-61251425.54770915,5413111072332020.0
-345.0,-38000.0,11014903.48373421,-40767214.71513995,11702973.786440186,-60054896.63656865,5268556405659268.0
-345.0,-37000.0,11064717.871182557,-40774474.31860855,9630120.405538358,-58858367.725428164,5126865207260592.0
-345.0,-36000.0,11114532.258630907,-40781733.922077164,7557267.024636529,-57661838.81428766,4988037477135990.0
-345.0,-35000.0,11164346.646079255,-40788993.52554577,5484413.643734701,-56465309.90314716,4852073215285464.0
-345.0,-34000.0,11214161.033527605,-40796253.12901437,3411560.2628328577,-55268780.992006674,4718972421709014.0
-345.0,-33000.0,11263975.420975953,-40803512.73248298,1338706.8819310293,-54072252.08086617,4588735096406636.0
-345.0,-32000.0,11313789.808424301,-40810772.33595158,-734146.4989707917,-52875723.16972569,4461900210460288.0
-345.0,-31000.0,11363604.195872651,-40818031.939420186,-2806999.87987262,-51679194.258585185,4344730098949715.5
-345.0,-30000.0,11413418.583321001,-40825291.54288879,-4879853.260774456,-50482665.3474447,4239016897990651.5
-345.0,-29000.0,11463232.97076935,-40832551.146357395,-6952706.641676284,-49286136.4363042,4144760607583094.0
-345.0,-28000.0,11513047.358217698,-40839810.749826,-9025560.022578113,-48089607.5251637,4061961227727045.0
-345.0,-27000.0,11562861.745666048,-40847070.3532946,-11098413.403479941,-46893078.61402321,3990618758422503.0
-345.0,-26000.0,11612676.133114396,-40854329.95676321,-13171266.78438177,-45696549.702882715,3930733199669468.5
-345.0,-25000.0,11662490.520562746,-40861589.56023181,-15244120.165283598,-44500020.79174222,3882304551467941.5
-345.0,-24000.0,11712304.908011094,-40868849.16370042,-17316973.546185426,-43303491.88060173,3845332813817922.0
-345.0,-23000.0,11762119.295459444,-40876108.76716902,-19389826.927087262,-42106962.96946123,3819817986719410.0
-345.0,-22000.0,11811933.682907792,-40883368.370637625,-21462680.30798909,-40910434.05832073,3805760070172404.5
-345.0,-21000.0,11861748.070356142,-40890627.97410624,-23535533.68889092,-39713905.147180244,3803159064176908.5
-345.0,-20000.0,11911562.45780449,-40897887.57757484,-25608387.069792747,-38517376.23603974,3812014968732918.0
-345.0,-19000.0,11961376.845252838,-40905147.181043446,-27681240.450694576,-37320847.324899256,3832327783840436.0
-345.0,-18000.0,12011191.232701188,-40912406.78451205,-29754093.831596404,-36124318.413758755,3864097509499461.0
-345.0,-17000.0,12061005.620149536,-40919666.387980655,-31826947.21249824,-34927789.50261826,3907324145709993.0
-345.0,-16000.0,12110820.007597886,-40926925.99144926,-33899800.59340006,-33731260.59147777,3962007692472033.0
-345.0,-15000.0,12160634.395046234,-40934185.59491786,-35972653.9743019,-32534731.680337273,4028148149785581.0
-345.0,-14000.0,12210448.782494584,-40941445.19838647,-38045507.355203725,-31338202.76919678,4105745517650635.5
