gamma,omega,M_m1,M_m2,M_m3,M_m4,Q
-500.0,-49000.0,19092208.81857792,-62821499.81102388,34501285.44449656,-73131524.2346161,9294760675384716.0
-500.0,-48000.0,19142023.206026267,-62828759.41449249,32428432.06359473,-71934995.32347561,9122096561752636.0
-500.0,-47000.0,19191837.593474615,-62836019.01796109,30355578.682692885,-70738466.41233511,8952295916394631.0
-500.0,-46000.0,19241651.980922967,-62843278.6214297,28282725.301791057,-69541937.50119461,8785358739310700.0
-500.0,-45000.0,19291466.368371315,-62850538.2248983,26209871.92088923,-68345408.59005412,8621285030500846.0
-500.0,-44000.0,19341280.755819663,-62857797.828366905,24137018.5399874,-67148879.67891362,8460074789965066.0
-500.0,-43000.0,19391095.14326801,-62865057.43183551,22064165.15908557,-65952350.76777314,8301728017703363.0
-500.0,-42000.0,19440909.53071636,-62872317.035304114,19991311.778183743,-64755821.856632635,8146244713715733.0
-500.0,-41000.0,19490723.91816471,-62879576.63877272,17918458.397281915,-63559292.94549215,7993624878002180.0
-500.0,-40000.0,19540538.30561306,-62886836.24224132,15845605.016380087,-62362764.03435165,7843868510562700.0
-500.0,-39000.0,19590352.693061408,-62894095.84570993,13772751.635478258,-61166235.12321116,7696975611397297.0
-500.0,-38000.0,19640167.080509756,-62901355.44917853,11699898.25457643,-59969706.21207066,7552946180505968.0
-500.0,-37000.0,19689981.467958108,-62908615.052647136,9627044.873674601,-58773177.30093017,7411780217888716.0
-500.0,-36000.0,19739795.855406456,-62915874.65611575,7554191.492772773,-57576648.38978967,7273477723545538.0
-500.0,-35000.0,19789610.242854804,-62923134.25958435,5481338.1118709445,-56380119.47864917,7138038697476434.0
-500.0,-34000.0,19839424.630303152,-62930393.86305296,3408484.730969101,-55183590.56750868,7005463139681406.0
-500.0,-33000.0,19889239.017751504,-62937653.46652156,1335631.3500672728,-53987061.65636818,6875751050160453.0
-500.0,-32000.0,19939053.40519985,-62944913.069990166,-737222.0308345482,-52790532.745227695,6749445925236324.0
-500.0,-31000.0,19988867.7926482,-62952172.67345877,-2810075.4117363766,-51594003.83408719,6632813799760418.0
-500.0,-30000.0,20038682.180096548,-62959432.276927374,-4882928.792638212,-50397474.92294671,6527638584836022.0
-500.0,-29000.0,20088496.567544896,-62966691.88039598,-6955782.173540041,-49200946.011806205,6433920280463132.0
-500.0,-28000.0,20138310.954993248,-62973951.48386458,-9028635.55444187,-48004417.10066571,6351658886641749.0
-500.0,-27000.0,20188125.342441596,-62981211.08733319,-11101488.935343698,-46807888.18952522,6280854403371874.0
-500.0,-26000.0,20237939.729889944,-62988470.69080179,-13174342.316245526,-45611359.27838472,6221506830653506.0
-500.0,-25000.0,20287754.117338292,-62995730.294270396,-15247195.697147354,-44414830.36724423,6173616168486646.0
-500.0,-24000.0,20337568.504786644,-63002989.897739,-17320049.078049183,-43218301.456103735,6137182416871293.0
-500.0,-23000.0,20387382.892234992,-63010249.501207605,-19392902.45895102,-42021772.54496324,6112205575807448.0
-500.0,-22000.0,20437197.27968334,-63017509.10467621,-21465755.839852847,-40825243.63382274,6098685645295110.0
-500.0,-21000.0,20487011.66713169,-63024768.70814482,-23538609.220754676,-39628714.72268225,6096622625334281.0
-500.0,-20000.0,20536826.05458004,-63032028.311613426,-25611462.601656504,-38432185.81154175,6106016515924957.0
-500.0,-19000.0,20586640.44202839,-63039287.91508203,-27684315.982558332,-37235656.900401264,6126867317067142.0
-500.0,-18000.0,20636454.829476736,-63046547.518550634,-29757169.36346016,-36039127.98926076,6159175028760834.0
-500.0,-17000.0,20686269.216925085,-63053807.12201924,-31830022.744361997,-34842599.07812027,6202939651006034.0
-500.0,-16000.0,20736083.604373433,-63061066.72548784,-33902876.125263825,-33646070.166979775,6258161183802740.0
-500.0,-15000.0,20785897.991821785,-63068326.32895645,-35975729.50616565,-32449541.25583928,6324839627150954.0
-500.0,-14000.0,20835712.379270133,-63075585.93242505,-38048582.88706748,-31253012.344698787,6402974981050677.0
-500.0,-13000.0,20885526.76671848,-63082845.53589366,-40121436.26796931,-30056483.433558293,6492567245501905.0
-500.0,-12000.0,20935341.15416683,-63090105.13936226,-42194289.64887114,-28859954.5224178,6593616420504642.0
-500.0,-11000.0,20985155.54161518,-63097364.742830865,-44267143.02977297,-27663425.6112773,6706122506058886.0
-500.0,-10000.0,21034969.92906353,-63104624.34629947,-46339996.410674796,-26466896.700136807,6830085502164637.0
-500.0,-9000.0,21084784.316511877,-63111883.949768074,-48412849.791576624,-25270367.78899631,6965505408821896.0
-500.0,-8000.0,21134598.703960225,-63119143.55323668,-50485703.17247846,-24073838.877855815,7112382226030663.0
-500.0,-7000.0,21184413.091408573,-63126403.15670529,-52558556.55338029,-22877309.96671532,7270715953790938.0
-500.0,-6000.0,21234227.478856925,-63133662.760173894,-54631409.93428212,-21680781.055574827,7440506592102718.0
-500.0,-5000.0,21284041.866305273,-63140922.3636425,-56704263.315183945,-20484252.144434333,7621754140966008.0
-500.0,-4000.0,21333856.25375362,-63148181.9671111,-58777116.69608577,-19287723.23329384,7814458600380804.0
