CODE,ORIG,FIRM_ID,YEAR,PRICE,QUANTITY,HP,LENGTH,WIDTH,SIZE,WEIGHT,FUEL,MPG,FUELPRICE,SEGMENT,steel_price,brand_id,model_id
12601,1,6,1995,26.65856,203,.0314773,182.2835,67.32284,1.227184,4129.956,0,33.60209,.70969,3,1,20,24
12602,1,6,1995,35.71561,5,.0490552,187.4016,69.68504,1.305909,3017.621,0,36.18686,.70969,4,1,20,25
12701,1,19,1995,18.75243,10231,.0296087,150,64.56693,.968504,2026.432,0,44.38011,.70969,1,1,21,92
12702,1,19,1995,6.294849,566831,.0267059,137.0079,59.05512,.8091016,1497.797,0,50.04566,.70969,1,1,21,103
12703,1,19,1995,20.42892,3271,.0374862,170.0787,65.35433,1.111538,2400.881,0,38.55977,.70969,3,1,21,166
12704,1,19,1995,17.03675,13382,.0356545,161.4173,64.56693,1.042222,2103.524,0,42.00261,.70969,2,1,21,66
12801,1,19,1995,14.37473,15372,.0280183,150,63.77953,.9566929,1927.313,0,41.26572,.70969,1,1,22,82
12802,1,19,1995,13.49023,27669,.0263613,163.7795,63.77953,1.044578,2048.458,0,39.20243,.70969,1,1,22,86
12803,1,19,1995,25.95701,977,.0271413,151.5748,64.17323,.9727044,2026.432,0,41.26572,.70969,1,1,22,83
13002,2,17,1995,14.05836,73482,.0595506,146.063,62.20472,.9085808,1696.035,0,42.00261,.70969,1,1,23,160
13003,2,17,1995,16.119,25714,.0475619,164.9606,66.53543,1.097573,2081.498,0,44.38011,.70969,2,1,23,49
13102,2,18,1995,24.54054,671,.0485382,178.3465,67.32284,1.200679,2389.868,0,42.76629,.70969,3,1,24,57
13103,2,18,1995,47.79866,1,.0598975,173.622,68.89764,1.196215,2621.145,0,36.18686,.70969,4,1,24,59
13104,2,18,1995,18.58108,7711,.0410762,166.1417,65.35433,1.085808,2312.775,0,41.26572,.70969,2,1,24,67
13105,2,18,1995,39.51701,1,.0945237,177.5591,71.25984,1.265283,3491.189,0,31.06291,.70969,4,1,24,159
13201,1,19,1995,23.27033,1127,.0495727,158.2677,67.32284,1.065503,2319.824,0,40.55424,.70969,2,1,25,89
13202,1,19,1995,21.92987,1866,.0421048,181.1024,67.71654,1.226362,2731.278,0,39.20243,.70969,3,1,25,121
13203,1,19,1995,13.22318,55956,.0263971,146.063,64.96063,.9488344,2125.463,0,46.9434,.70969,1,1,25,122
13204,1,19,1995,22.55564,1397,.038873,172.4409,66.92913,1.154132,2367.841,0,39.4715,.70969,3,1,25,173
13302,1,5,1995,23.74017,920,.0471577,173.622,66.53543,1.155202,2332.599,0,40.55424,.70969,2,1,26,147
13303,1,5,1995,35.17572,8,.0580301,183.4646,69.29134,1.27125,2929.515,0,35.63857,.70969,4,1,26,151
20102,1,4,1995,35.93767,4,.0375828,179.1339,69.29134,1.241243,3325.991,1,45.23357,.51604,4,1,1,38
20103,1,4,1995,20.06173,2820,.0337686,161.0236,67.32284,1.084057,2665.198,1,47.04292,.51604,2,1,1,34
20104,1,4,1995,25.17777,359,.0323204,174.8031,67.56693,1.181091,2812.996,1,46.12051,.51604,3,1,1,36
20105,1,4,1995,23.62966,827,.0328193,167.3228,67.32284,1.126465,2742.291,1,47.04292,.51604,2,1,1,35
20201,1,19,1995,28.92045,18,.0366386,188.5827,69.68504,1.314139,3138.767,1,51.13361,.51604,4,1,2,1
20202,1,19,1995,18.51155,2050,.0317828,176.378,66.53543,1.173538,2831.718,1,59.45468,.51604,3,1,2,20
20204,1,19,1995,40.90364,1,.0329516,175.9843,68.11024,1.198633,2731.278,1,60.31143,.51604,3,1,2,28
20205,1,19,1995,58.40795,1,.0363858,188.5827,69.68504,1.314139,3160.573,1,51.13361,.51604,4,1,2,29
