year,state,basketball,cross_country,soccer,track_field
1996-97,Virginia,6861.0,2868.0,4888.0,10229.0
1996-97,Washington,10202.0,3270.0,6947.0,8341.0
1996-97,West Virginia,2776.0,515.0,938.0,2692.0
1996-97,Wisconsin,12345.0,3979.0,4933.0,9396.0
1996-97,Wyoming,1764.0,333.0,582.0,1594.0
1997-98,Alabama,5891.0,501.0,1951.0,3713.0
1997-98,Alaska,1827.0,820.0,804.0,898.0
1997-98,Arizona,5560.0,1560.0,2698.0,4594.0
1997-98,Arkansas,5330.0,493.0,,3858.0
1997-98,California,30979.0,14245.0,30222.0,29682.0
1997-98,Colorado,7401.0,2143.0,4463.0,29862.0
1997-98,Connecticut,4016.0,2013.0,4542.0,8259.0
1997-98,Delaware,1074.0,495.0,1073.0,1371.0
1997-98,District of Columbia,154.0,72.0,45.0,297.0
1997-98,Florida,10552.0,4880.0,10543.0,10600.0
1997-98,Georgia,8916.0,2983.0,5472.0,7572.0
1997-98,Hawaii,1645.0,750.0,2614.0,1250.0
1997-98,Idaho,4056.0,1026.0,517.0,2810.0
1997-98,Illinois,17148.0,5985.0,10583.0,14417.0
1997-98,Indiana,12466.0,3232.0,4517.0,9684.0
1997-98,Iowa,12588.0,3244.0,2186.0,10850.0
1997-98,Kansas,7004.0,2302.0,1690.0,6405.0
1997-98,Kentucky,6055.0,2360.0,2760.0,4539.0
1997-98,Louisiana,9400.0,1224.0,570.0,4857.0
1997-98,Maine,3696.0,4017.0,3919.0,2630.0
1997-98,Maryland,4479.0,1956.0,4463.0,7227.0
1997-98,Massachusetts,9732.0,8599.0,10675.0,15431.0
1997-98,Michigan,9948.0,6618.0,10190.0,18303.0
1997-98,Minnesota,12200.0,3750.0,5191.0,12068.0
1997-98,Mississippi,5572.0,996.0,1270.0,4122.0
1997-98,Missouri,2631.0,3604.0,5023.0,10932.0
1997-98,Montana,4197.0,793.0,448.0,3063.0
1997-98,Nebraska,7219.0,1359.0,1848.0,6747.0
1997-98,Nevada,1970.0,480.0,975.0,1700.0
1997-98,New Hampshire,2315.0,137.0,2218.0,2494.0
1997-98,New Jersey,10027.0,4426.0,11203.0,18587.0
1997-98,New Mexico,2533.0,868.0,1281.0,1970.0
1997-98,New York,17039.0,5401.0,21483.0,6834.0
1997-98,North Carolina,7423.0,3053.0,804.0,1486.0
1997-98,North Dakota,3530.0,325.0,619.0,2001.0
1997-98,Ohio,8448.0,6734.0,9608.0,22296.0
1997-98,Oklahoma,9805.0,1072.0,5853.0,3810.0
1997-98,Oregon,6789.0,2071.0,4188.0,6107.0
1997-98,Pennsylvania,9020.0,4570.0,12600.0,18558.0
1997-98,Rhode Island,90.0,628.0,1337.0,2177.0
1997-98,South Carolina,5318.0,1480.0,2335.0,5123.0
1997-98,South Dakota,380.0,680.0,,3069.0
1997-98,Tennessee,6262.0,2442.0,3648.0,4809.0
1997-98,Texas,70365.0,29792.0,15124.0,63429.0
1997-98,Utah,3001.0,1274.0,2332.0,3218.0
1997-98,Vermont,1216.0,252.0,4501.0,899.0
1997-98,Virginia,529.0,2128.0,4274.0,3325.0
1997-98,Washington,10314.0,3452.0,7392.0,8398.0
1997-98,West Virginia,2824.0,556.0,1149.0,2414.0
1997-98,Wisconsin,12338.0,4075.0,6243.0,10617.0
1997-98,Wyoming,1734.0,330.0,543.0,1593.0
1998-99,Alabama,5891.0,407.0,2076.0,4639.0
1998-99,Alaska,1471.0,577.0,588.0,694.0
1998-99,Arizona,5684.0,1577.0,2828.0,5147.0
1998-99,Arkansas,5408.0,556.0,665.0,3894.0
1998-99,California,30979.0,44245.0,30222.0,29682.0
1998-99,Colorado,7233.0,2397.0,4625.0,6040.0
1998-99,Connecticut,4037.0,2031.0,4552.0,6834.0
1998-99,Delaware,966.0,536.0,1126.0,1411.0
1998-99,District of Columbia,200.0,107.0,32.0,300.0
1998-99,Florida,9708.0,4824.0,10130.0,9752.0
1998-99,Georgia,8855.0,3383.0,6124.0,7799.0
1998-99,Hawaii,4607.0,848.0,1467.0,1307.0
1998-99,Idaho,4094.0,972.0,891.0,2958.0
1998-99,Illinois,17116.0,6450.0,10911.0,15106.0
1998-99,Indiana,42510.0,3261.0,5194.0,9967.0
1998-99,Iowa,12651.0,3260.0,2197.0,10904.0
1998-99,Kansas,7484.0,2382.0,2106.0,6940.0
1998-99,Kentucky,6077.0,2536.0,3115.0,4615.0
1998-99,Louisiana,9400.0,224.0,570.0,4857.0
1998-99,Maine,3586.0,1144.0,3888.0,3483.0
1998-99,Maryland,4518.0,1824.0,4669.0,7248.0
1998-99,Massachusetts,9830.0,3841.0,10810.0,15880.0
1998-99,Michigan,20421.0,6670.0,10756.0,18183.0
1998-99,Minnesota,12673.0,3810.0,5617.0,12436.0
1998-99,Mississippi,5612.0,1026.0,1425.0,4241.0
1998-99,Missouri,12860.0,3630.0,5308.0,10961.0
1998-99,Montana,4196.0,722.0,510.0,3190.0
1998-99,Nebraska,7462.0,1450.0,1732.0,6461.0
1998-99,Nevada,2225.0,504.0,1180.0,1802.0
1998-99,New Hampshire,86.0,731.0,2385.0,2358.0
1998-99,New Jersey,9926.0,4414.0,11351.0,18177.0
1998-99,New Mexico,2923.0,952.0,1501.0,2105.0
1998-99,New York,17334.0,5841.0,22391.0,24642.0
1998-99,North Carolina,7612.0,3121.0,5992.0,9677.0
1998-99,North Dakota,3466.0,354.0,595.0,2066.0
1998-99,Ohio,18424.0,6770.0,10142.0,22218.0
1998-99,Oklahoma,9790.0,1072.0,1565.0,3822.0
1998-99,Oregon,6516.0,16.0,4128.0,6269.0
1998-99,Pennsylvania,18990.0,4690.0,13230.0,18618.0
1998-99,Rhode Island,956.0,618.0,1230.0,2397.0
1998-99,South Carolina,5289.0,1503.0,2492.0,5103.0
1998-99,South Dakota,3478.0,719.0,,2823.0
1998-99,Tennessee,6441.0,2519.0,4032.0,4935.0
1998-99,Texas,70407.0,29979.0,16260.0,68330.0
1998-99,Utah,3086.0,4251.0,2353.0,3342.0
1998-99,Vermont,1656.0,378.0,2035.0,1189.0
1998-99,Virginia,6385.0,2914.0,4884.0,10704.0
1998-99,Washington,10671.0,3911.0,7874.0,9364.0
1998-99,West Virginia,2335.0,608.0,1216.0,2281.0
1998-99,Wisconsin,12462.0,4127.0,6030.0,9630.0
1998-99,Wyoming,69.0,351.0,586.0,1619.0
1999-00,Alabama,5891.0,335.0,2307.0,4704.0
1999-00,Alaska,1857.0,948.0,786.0,861.0
1999-00,Arizona,5846.0,1779.0,3352.0,4735.0
1999-00,Arkansas,5245.0,543.0,718.0,2651.0
1999-00,California,32218.0,14815.0,31431.0,30870.0
1999-00,Colorado,7211.0,2361.0,4783.0,6018.0
1999-00,Connecticut,4047.0,2041.0,4562.0,6840.0
1999-00,Delaware,1018.0,525.0,1171.0,1340.0
1999-00,District of Columbia,210.0,80.0,43.0,318.0
1999-00,Florida,10987.0,2066.0,11343.0,10835.0
1999-00,Georgia,8855.0,3383.0,6124.0,7799.0
1999-00,Hawaii,1531.0,691.0,1390.0,1152.0
1999-00,Idaho,3642.0,941.0,762.0,2976.0
1999-00,Illinois,16989.0,6185.0,12312.0,14754.0
1999-00,Indiana,11499.0,3683.0,5264.0,8761.0
1999-00,Iowa,9401.0,3498.0,3013.0,10722.0
1999-00,Kansas,10120.0,2324.0,2392.0,6839.0
1999-00,Kentucky,5674.0,2021.0,3853.0,4243.0
1999-00,Louisiana,9400.0,1224.0,570.0,4857.0
1999-00,Maine,3616.0,1064.0,4017.0,3527.0
1999-00,Maryland,4904.0,1821.0,4793.0,7237.0
1999-00,Massachusetts,9269.0,3926.0,10550.0,15863.0
1999-00,Michigan,19760.0,6761.0,11921.0,17971.0
1999-00,Minnesota,12280.0,3952.0,6042.0,42123.0
1999-00,Mississippi,5662.0,1101.0,1625.0,4341.0
1999-00,Missouri,12646.0,3795.0,5717.0,10821.0
1999-00,Montana,3984.0,767.0,636.0,3036.0
1999-00,Nebraska,7223.0,1450.0,1931.0,6866.0
1999-00,Nevada,2253.0,527.0,1551.0,1681.0
1999-00,New Hampshire,2343.0,720.0,2482.0,2653.0
1999-00,New Jersey,10016.0,4463.0,12017.0,18264.0
1999-00,New Mexico,2923.0,962.0,1501.0,2105.0
1999-00,New York,17334.0,5841.0,22391.0,24642.0
1999-00,North Carolina,7791.0,4037.0,6028.0,10378.0
1999-00,North Dakota,3354.0,369.0,682.0,1998.0
1999-00,Ohio,18481.0,6885.0,10630.0,22568.0
1999-00,Oklahoma,6580.0,1161.0,1543.0,4037.0
1999-00,Oregon,6446.0,1987.0,4494.0,6167.0
1999-00,Pennsylvania,19170.0,4600.0,12705.0,18590.0
1999-00,Rhode Island,1093.0,687.0,1324.0,2495.0
1999-00,South Carolina,5148.0,1473.0,2538.0,5032.0
1999-00,South Dakota,3276.0,615.0,,2681.0
1999-00,Tennessee,6612.0,2618.0,4320.0,4935.0
1999-00,Texas,70247.0,29748.0,16103.0,68388.0
1999-00,Utah,2986.0,1315.0,2383.0,3320.0
1999-00,Vermont,1833.0,452.0,2353.0,1289.0
1999-00,Virginia,6178.0,2879.0,5408.0,10227.0
1999-00,Washington,10138.0,3455.0,8092.0,9192.0
1999-00,West Virginia,2467.0,648.0,1358.0,2183.0
1999-00,Wisconsin,12108.0,4160.0,6390.0,11287.0
1999-00,Wyoming,1658.0,360.0,572.0,1568.0
2000-01,Alabama,5921.0,412.0,2461.0,4659.0
2000-01,Alaska,1797.0,720.0,789.0,818.0
2000-01,Arizona,6072.0,638.0,3703.0,5086.0
2000-01,Arkansas,4121.0,436.0,653.0,2317.0
2000-01,California,33831.0,16061.0,34663.0,33153.0
2000-01,Colorado,7597.0,2202.0,5889.0,6474.0
2000-01,Connecticut,3868.0,2011.0,4871.0,8733.0
2000-01,Delaware,1012.0,505.0,1185.0,1218.0
2000-01,District of Columbia,125.0,79.0,18.0,291.0
2000-01,Florida,11159.0,5288.0,11860.0,13096.0
2000-01,Georgia,9295.0,3547.0,7013.0,7928.0
2000-01,Hawaii,1671.0,733.0,1633.0,1214.0
2000-01,Idaho,3669.0,843.0,1132.0,2974.0
2000-01,Illinois,18397.0,7060.0,13601.0,16861.0
2000-01,Indiana,10283.0,4041.0,5412.0,9552.0
2000-01,Iowa,9355.0,3481.0,2998.0,10669.0
2000-01,Kansas,8264.0,2090.0,2301.0,6765.0
2000-01,Kentucky,5929.0,2615.0,3853.0,4505.0
2000-01,Louisiana,9401.0,1225.0,1650.0,4859.0
2000-01,Maine,3518.0,987.0,4039.0,3510.0
2000-01,Maryland,4552.0,1951.0,4834.0,7752.0
2000-01,Massachusetts,10034.0,3847.0,11468.0,16352.0
2000-01,Michigan,20379.0,6287.0,12191.0,17825.0
2000-01,Minnesota,12835.0,4416.0,6949.0,13849.0
2000-01,Mississippi,5720.0,1162.0,1720.0,4450.0
2000-01,Missouri,12805.0,3885.0,6009.0,18858.0
2000-01,Montana,3753.0,712.0,698.0,3029.0
2000-01,Nebraska,7051.0,1336.0,2017.0,6859.0
2000-01,Nevada,2366.0,553.0,1629.0,1765.0
2000-01,New Hampshire,2353.0,708.0,2538.0,2813.0
2000-01,New Jersey,10032.0,4124.0,11637.0,19524.0
2000-01,New Mexico,3398.0,1082.0,1741.0,2565.0
2000-01,New York,18308.0,6020.0,24561.0,25049.0
2000-01,North Carolina,7856.0,4023.0,5837.0,9791.0
2000-01,North Dakota,3209.0,387.0,786.0,1999.0
2000-01,Ohio,18181.0,7004.0,11228.0,21536.0
2000-01,Oklahoma,6782.0,1260.0,1640.0,4166.0
2000-01,Oregon,6411.0,1962.0,4543.0,6232.0
2000-01,Pennsylvania,19170.0,4850.0,17920.0,16964.0
2000-01,Rhode Island,1129.0,629.0,1425.0,2423.0
2000-01,South Carolina,5092.0,1537.0,2832.0,5135.0
2000-01,South Dakota,3403.0,695.0,,2682.0
2000-01,Tennessee,4764.0,2004.0,4028.0,5170.0
2000-01,Texas,69760.0,28460.0,16302.0,67602.0
2000-01,Utah,2959.0,1185.0,2328.0,3178.0
2000-01,Vermont,1777.0,371.0,2091.0,990.0
2000-01,Virginia,5804.0,2691.0,5010.0,9714.0
2000-01,Washington,10026.0,4765.0,8374.0,9180.0
2000-01,West Virginia,2320.0,627.0,1361.0,2176.0
2000-01,Wisconsin,13508.0,4765.0,8058.0,10739.0
2000-01,Wyoming,1706.0,325.0,610.0,1588.0
2001-02,Alabama,5291.0,736.0,2487.0,4709.0
2001-02,Alaska,1832.0,727.0,831.0,825.0
2001-02,Arizona,6091.0,1711.0,3789.0,4840.0
2001-02,Arkansas,4996.0,671.0,997.0,3278.0
2001-02,California,33831.0,16060.0,34663.0,33153.0
2001-02,Colorado,7278.0,2336.0,5723.0,6385.0
2001-02,Connecticut,4225.0,2181.0,4889.0,8893.0
2001-02,Delaware,1095.0,534.0,1228.0,1214.0
2001-02,District of Columbia,203.0,150.0,81.0,348.0
2001-02,Florida,11263.0,5649.0,11415.0,13295.0
2001-02,Georgia,9258.0,3690.0,7329.0,8193.0
2001-02,Hawaii,1628.0,679.0,1568.0,1205.0
2001-02,Idaho,3785.0,734.0,1592.0,3168.0
2001-02,Illinois,18516.0,6605.0,13965.0,16087.0
2001-02,Indiana,9041.0,3723.0,5398.0,8282.0
2001-02,Iowa,9278.0,3450.0,2972.0,10579.0
2001-02,Kansas,8162.0,2394.0,2391.0,6535.0
2001-02,Kentucky,5950.0,2427.0,3930.0,4560.0
2001-02,Louisiana,9401.0,1225.0,1650.0,4877.0
2001-02,Maine,3336.0,952.0,3926.0,3479.0
2001-02,Maryland,4494.0,2035.0,4998.0,7970.0
2001-02,Massachusetts,10632.0,3766.0,11929.0,16835.0
2001-02,Michigan,20827.0,6619.0,12954.0,18909.0
2001-02,Minnesota,12841.0,4450.0,7340.0,13882.0
2001-02,Mississippi,5765.0,1216.0,1776.0,4510.0
2001-02,Missouri,12513.0,4005.0,6262.0,11016.0
2001-02,Montana,3893.0,769.0,620.0,2631.0
2001-02,Nebraska,7288.0,1382.0,2086.0,6587.0
2001-02,Nevada,2425.0,567.0,1670.0,1809.0
2001-02,New Hampshire,2460.0,759.0,2643.0,2065.0
2001-02,New Jersey,9984.0,4092.0,11884.0,6567.0
2001-02,New Mexico,3398.0,1082.0,1741.0,2565.0
2001-02,New York,18568.0,6120.0,22278.0,25884.0
2001-02,North Carolina,7619.0,3510.0,7317.0,9396.0
2001-02,North Dakota,3291.0,360.0,720.0,2064.0
2001-02,Ohio,18352.0,7074.0,11447.0,22214.0
2001-02,Oklahoma,6805.0,1191.0,1702.0,4140.0
2001-02,Oregon,6468.0,1944.0,4557.0,6236.0
2001-02,Pennsylvania,19200.0,4890.0,15575.0,19028.0
2001-02,Rhode Island,1153.0,662.0,1429.0,2289.0
2001-02,South Carolina,5130.0,1565.0,2992.0,5122.0
