RANK,TEAM,W,L,WIN%,CONF,DIV,HOME,ROAD,OT,LAST 10,STREAK,YEAR
2,ATLANTA DREAM,17,17,.500,12-10,0-0,13-4,4-13,1-1,3-7,L 4,2013
3,PHOENIX MERCURY,19,15,.559,9-13,0-0,10-7,9-8,1-0,6-4,L 1,2013
3,WASHINGTON MYSTICS,17,17,.500,10-12,0-0,10-7,7-10,2-1,6-4,W 3,2013
4,INDIANA FEVER,16,18,.471,11-11,0-0,9-8,7-10,0-3,5-5,L 1,2013
4,SEATTLE STORM,17,17,.500,11-11,0-0,9-8,8-9,1-0,6-4,W 2,2013
5,NEW YORK LIBERTY,11,23,.324,8-14,0-0,6-11,5-12,2-1,1-9,L 7,2013
5,SAN ANTONIO SILVER STARS,12,22,.353,7-15,0-0,8-9,4-13,1-0,3-7,W 1,2013
6,TULSA SHOCK,11,23,.324,7-15,0-0,7-10,4-13,0-5,4-6,L 2,2013
6,CONNECTICUT SUN,10,24,.294,8-14,0-0,8-9,2-15,1-0,3-7,W 1,2013
1,PHOENIX MERCURY,29,5,.853,19-3,0-0,16-1,13-4,2-0,8-2,W 2,2014
1,ATLANTA DREAM,19,15,.559,11-11,0-0,13-4,6-11,2-3,4-6,L 1,2014
2,MINNESOTA LYNX,25,9,.735,15-7,0-0,15-2,10-7,2-0,7-3,W 1,2014
2,INDIANA FEVER,16,18,.471,12-10,0-0,7-10,9-8,1-2,5-5,L 1,2014
3,SAN ANTONIO STARS,16,18,.471,9-13,0-0,8-9,8-9,1-2,4-6,W 3,2014
3,WASHINGTON MYSTICS,16,18,.471,11-11,0-0,8-9,8-9,1-3,5-5,L 1,2014
4,LOS ANGELES SPARKS,16,18,.471,9-13,0-0,7-10,9-8,2-1,6-4,L 1,2014
4,CHICAGO SKY,15,19,.441,14-8,0-0,9-8,6-11,1-2,5-5,L 2,2014
5,NEW YORK LIBERTY,15,19,.441,10-12,0-0,10-7,5-12,2-1,5-5,W 2,2014
5,SEATTLE STORM,12,22,.353,7-15,0-0,8-9,4-13,1-2,3-7,L 2,2014
6,TULSA SHOCK,12,22,.353,7-15,0-0,8-9,4-13,2-1,4-6,L 3,2014
6,CONNECTICUT SUN,13,21,.382,8-14,0-0,9-8,4-13,1-1,3-7,W 1,2014
1,NEW YORK LIBERTY,23,11,.676,13-9,0-0,12-5,11-6,2-0,6-4,L 2,2015
1,MINNESOTA LYNX,22,12,.647,16-6,0-0,13-4,9-8,0-1,4-6,L 1,2015
2,PHOENIX MERCURY,20,14,.588,15-7,0-0,13-4,7-10,3-1,5-5,L 1,2015
2,CHICAGO SKY,21,13,.618,14-8,0-0,13-4,8-9,2-1,7-3,L 1,2015
3,TULSA SHOCK,18,16,.529,11-11,0-0,12-5,6-11,1-1,8-2,W 1,2015
3,INDIANA FEVER,20,14,.588,13-9,0-0,11-6,9-8,1-1,5-5,W 2,2015
4,LOS ANGELES SPARKS,14,20,.412,10-12,0-0,9-8,5-12,0-2,6-4,L 2,2015
4,WASHINGTON MYSTICS,18,16,.529,10-12,0-0,11-6,7-10,1-1,3-7,L 1,2015
5,SEATTLE STORM,10,24,.294,8-14,0-0,8-9,2-15,0-0,4-6,L 1,2015
5,ATLANTA DREAM,15,19,.441,10-12,0-0,9-8,6-11,0-2,6-4,W 1,2015
6,SAN ANTONIO STARS,8,26,.235,6-16,0-0,7-10,1-16,0-1,1-9,W 1,2015
