destination,age,wage,tax_rate,rentgrs,hccost
4,47,40041.592255007934,0.03359999999999998,690.9288517597465,5377.059392265193
4,48,37805.19848899107,0.03359999999999999,609.325330319184,5377.059392265193
4,49,42289.01050022575,0.03360000000000002,573.2246867360067,5377.059392265193
4,50,38473.37800510618,0.0336,591.6979733382643,5377.059392265193
4,51,37829.696834738286,0.03359999999999995,610.0446026164032,5377.059392265193
4,52,35641.05688482049,0.03360000000000002,532.1502138988968,5377.059392265193
4,53,38960.07502469847,0.03359999999999998,543.4401402941537,5377.059392265193
4,54,35242.423365053655,0.03360000000000004,538.7765917901932,5377.059392265193
4,55,37810.39563186367,0.03360000000000007,486.0679667820877,5377.059392265193
4,56,33675.571056279434,0.0336,482.7571311759348,5377.059392265193
4,57,29830.471595190706,0.03360000000000004,468.3994800839703,5377.059392265193
4,58,28984.73724125066,0.03359999999999998,475.8806303260721,5377.059392265193
4,59,32217.735315214828,0.03360000000000004,454.93412595324656,5377.059392265193
4,60,28352.429769339877,0.03359999999999995,444.56615486611656,5377.059392265193
4,61,27635.27369756585,0.03360000000000006,459.566934552425,5377.059392265193
4,62,25758.47472140331,0.03359999999999999,378.7524446556549,5377.059392265193
4,63,18139.399630668224,0.03360000000000003,404.2701506385227,5377.059392265193
4,64,19068.72386384493,0.03360000000000006,390.8294286621236,5377.059392265193
4,65,17549.428089819994,0.03359999999999995,331.51206196657546,5377.059392265193
4,66,13519.35522283792,0.03360000000000006,307.64842495047117,5377.059392265193
4,67,14120.351349628703,0.03359999999999991,372.1762576541582,5377.059392265193
4,68,9778.676843867575,0.03360000000000002,360.37106883890175,5377.059392265193
4,69,9065.91910185886,0.0336,345.8387862288008,5377.059392265193
4,70,7314.285997882474,0.03360000000000001,323.2959400568482,5377.059392265193
4,71,4794.468066681095,0.03359999999999995,370.1752784187608,5377.059392265193
4,72,7729.329409833759,0.03360000000000001,359.0613507707308,5377.059392265193
4,73,2095.0914656190503,0.03360000000000002,386.5058653713541,5377.059392265193
