id,year,Y,Y2,L,K,M,industry,country
88722,1982,42733.10546875,2651.721923828,37.674133,36271.6875,40081.3828125,"metal","chile"
88722,1983,22270.1796875,7354.872070313,32.449223,33561.96484375,14915.30761719,"metal","chile"
88722,1984,24176.93554688,5022.090820313,27.180887,31401.55664063,19154.84570313,"metal","chile"
88722,1985,29931.85546875,6374.955566406,27.314968,28822.45703125,23556.90039063,"metal","chile"
88722,1986,29955.36328125,9072.137695313,24.294121,26219.38671875,20883.22460938,"metal","chile"
88722,1987,34058.53125,6593.309570313,29.070951,24627.7734375,27465.22265625,"metal","chile"
88722,1988,53393.8203125,15680.76269531,36.139679,25856.0625,37713.0546875,"metal","chile"
88722,1989,48642.79296875,20202.09570313,33.262066,23736.99609375,28440.69921875,"metal","chile"
88722,1990,88021.921875,47151.2265625,126.01831,29115.95703125,40870.6953125,"metal","chile"
88722,1991,108811.2734375,27611.015625,172.16571,36947.1953125,81200.2578125,"metal","chile"
88722,1992,149631.984375,78377.1328125,180.36211,36152.9921875,71254.8515625,"metal","chile"
88722,1993,202257.21875,126658.3984375,213.64124,47048.61328125,75598.8046875,"metal","chile"
88722,1994,194548.09375,91059.140625,235.55008,61824.4375,103488.9453125,"metal","chile"
88722,1995,249913.59375,149081.78125,213.83731,66444.984375,100831.8046875,"metal","chile"
88722,1996,244078.40625,139987.46875,261.36926,69800.328125,104090.921875,"metal","chile"
88794,1984,1063.208618164,169.8771209717,10.198497,22.38602828979,893.3314819336,"metal","chile"
88794,1986,885.9337768555,141.7831115723,8.7884369,14.32705879211,744.1506958008,"metal","chile"
88794,1987,816.086730957,133.4312438965,11.110026,11.46164703369,682.655456543,"metal","chile"
88839,1979,9763.884765625,5289.239257813,45.55788,1213.348144531,4474.645996094,"metal","chile"
88839,1980,9364.315429688,3492.812988281,34.632545,1141.24609375,5871.502929688,"metal","chile"
88893,1979,773.7054443359,278.0649414063,12.696024,66.78345489502,495.6405334473,"metal","chile"
88938,1979,1609.953735352,918.915222168,12.145362,888.6904296875,691.0384521484,"metal","chile"
88938,1980,3060.32421875,1441.225341797,11.770254,916.7534179688,1619.098876953,"metal","chile"
88938,1981,3523.174560547,1535.633056641,15.725391,828.516418457,1987.541503906,"metal","chile"
88938,1982,2056.710693359,1177.318115234,11.582926,770.0965576172,879.392578125,"metal","chile"
88938,1983,1260.390014648,492.7161560059,11.077322,713.1044921875,767.6738891602,"metal","chile"
88938,1984,2825.923339844,1332.556762695,16.54207,680.3103027344,1493.366699219,"metal","chile"
88938,1985,3478.923095703,1519.754516602,17.410105,674.883605957,1959.168579102,"metal","chile"
88938,1986,3507.012451172,957.3771362305,18.329014,655.4002075195,2549.635253906,"metal","chile"
89199,1987,119702.6015625,73676.9375,50.213779,17842.01757813,46025.66015625,"metal","chile"
89199,1990,192361.28125,59025.80078125,66.855522,19125.75390625,133335.484375,"metal","chile"
89199,1991,211405.453125,91481.5234375,70.088394,20300.1015625,119923.921875,"metal","chile"
89199,1992,181219.78125,91528.1015625,75.757065,20794.85546875,89691.6875,"metal","chile"
89199,1993,181160.359375,111514.359375,77.367264,20101.65429688,69646,"metal","chile"
89199,1994,144321.0625,46982.1953125,78.541077,29424.44335938,97338.8671875,"metal","chile"
