"","id","displaced","EDUC","first.displaced","race","gender","year","earn","learn"
"1804",129,0,"COL",0,"White","Male",2009,115000,11.6526874073454
"1805",129,0,"COL",0,"White","Male",2011,94000,11.4510500612521
"1806",129,0,"COL",0,"White","Male",2013,120000,11.6952470217642
"1912",137,0,"COL",0,"White","Female",2001,105000,11.5617156291397
"1913",137,0,"COL",0,"White","Female",2003,265933,12.4909996763376
"1914",137,0,"COL",0,"White","Female",2005,279816,12.5418875232812
"1915",137,0,"COL",0,"White","Female",2007,307823,12.6372802214419
"1916",137,0,"COL",0,"White","Female",2009,312324,12.6517963895019
"1917",137,0,"COL",0,"White","Female",2011,174030,12.0669829771282
"1918",137,0,"COL",0,"White","Female",2013,180000,12.1007121298723
"1954",140,0,"COL",0,"White","Female",2001,58000,10.9681982895286
"1955",140,0,"COL",0,"White","Female",2003,63000,11.0508900053737
"1956",140,0,"COL",0,"White","Female",2005,65000,11.0821425488778
"1957",140,0,"COL",0,"White","Female",2007,65000,11.0821425488778
"1958",140,0,"COL",0,"White","Female",2009,80000,11.289781913656
"1959",140,0,"COL",0,"White","Female",2011,75000,11.2252433925184
"1960",140,0,"COL",0,"White","Female",2013,76000,11.2384886192685
"2038",146,0,"HS",0,"White","Male",2001,58000,10.9681982895286
"2039",146,0,"HS",0,"White","Male",2003,56700,10.9455294897158
"2040",146,0,"HS",0,"White","Male",2005,50000,10.8197782844103
"2041",146,0,"HS",0,"White","Male",2007,63000,11.0508900053737
"2042",146,0,"HS",0,"White","Male",2009,90000,11.4075649493124
"2043",146,0,"HS",0,"White","Male",2011,93000,11.4403547721354
"2044",146,0,"HS",0,"White","Male",2013,114000,11.6439537273766
"2052",147,0,"HS",0,"White","Female",2001,5000,8.51719319141624
"2053",147,0,"HS",0,"White","Female",2003,14000,9.5468126085974
"2054",147,0,"HS",0,"White","Female",2005,12000,9.39266192877014
"2055",147,0,"HS",0,"White","Female",2007,12000,9.39266192877014
"2056",147,0,"HS",0,"White","Female",2009,12000,9.39266192877014
"2057",147,0,"HS",0,"White","Female",2011,15600,9.65502619323763
"2058",147,0,"HS",0,"White","Female",2013,12000,9.39266192877014
"2066",148,1,"HS",2003,"White","Male",2001,34000,10.4341158035983
"2067",148,1,"HS",2003,"White","Male",2003,26300,10.1773242181659
"2068",148,1,"HS",2003,"White","Male",2005,21800,9.98966524877718
"2069",148,1,"HS",2003,"White","Male",2007,35200,10.4688013615862
"2070",148,1,"HS",2003,"White","Male",2009,43000,10.6689553946757
"2071",148,1,"HS",2003,"White","Male",2011,47000,10.7579028806922
"2072",148,1,"HS",2003,"White","Male",2013,48000,10.77895628989
"2080",149,0,"HS",0,"White","Female",2001,85000,11.3504065354725
"2081",149,0,"HS",0,"White","Female",2003,85000,11.3504065354725
"2082",149,0,"HS",0,"White","Female",2005,95000,11.4616321705827
"2083",149,0,"HS",0,"White","Female",2007,111000,11.6172854802945
"2084",149,0,"HS",0,"White","Female",2009,105000,11.5617156291397
"2085",149,0,"HS",0,"White","Female",2011,114000,11.6439537273766
"2086",149,0,"HS",0,"White","Female",2013,110000,11.6082356447746
"2122",152,0,"HS",0,"White","Female",2001,62500,11.0429218357245
"2123",152,0,"HS",0,"White","Female",2003,55000,10.9150884642146
"2124",152,0,"HS",0,"White","Female",2005,85000,11.3504065354725
"2125",152,0,"HS",0,"White","Female",2007,103000,11.5424842672118
"2126",152,0,"HS",0,"White","Female",2009,104000,11.5521461781235
"2127",152,0,"HS",0,"White","Female",2011,114000,11.6439537273766
"2128",152,0,"HS",0,"White","Female",2013,25000,10.1266311038503
"2234",160,0,"HS",0,"White","Female",2001,55000,10.9150884642146
"2235",160,0,"HS",0,"White","Female",2003,58000,10.9681982895286
"2236",160,0,"HS",0,"White","Female",2005,65000,11.0821425488778
"2237",160,0,"HS",0,"White","Female",2007,67000,11.1124478983731
"2238",160,0,"HS",0,"White","Female",2009,67000,11.1124478983731
"2239",160,0,"HS",0,"White","Female",2011,80000,11.289781913656
"2240",160,0,"HS",0,"White","Female",2013,80000,11.289781913656
"2248",161,0,"HS",0,"White","Female",2001,36000,10.4912742174382
"2249",161,0,"HS",0,"White","Female",2003,45000,10.7144177687525
"2250",161,0,"HS",0,"White","Female",2005,16000,9.68034400122192
"2251",161,0,"HS",0,"White","Female",2007,34000,10.4341158035983
"2252",161,0,"HS",0,"White","Female",2009,41000,10.6213273456864
"2253",161,0,"HS",0,"White","Female",2011,52000,10.8589989975636
"2254",161,0,"HS",0,"White","Female",2013,55000,10.9150884642146
"2388",171,0,"COL",0,"White","Male",2001,81000,11.3022044336546
"2389",171,0,"COL",0,"White","Male",2003,85000,11.3504065354725
"2390",171,0,"COL",0,"White","Male",2005,98000,11.4927227576527
"2391",171,0,"COL",0,"White","Male",2007,103000,11.5424842672118
"2392",171,0,"COL",0,"White","Male",2009,105000,11.5617156291397
"2393",171,0,"COL",0,"White","Male",2011,114000,11.6439537273766
"2394",171,0,"COL",0,"White","Male",2013,126000,11.7440371859336
"2500",179,0,"HS",0,"White","Female",2001,30000,10.3089526606443
"2501",179,0,"HS",0,"White","Female",2003,28000,10.2399597891573
"2502",179,0,"HS",0,"White","Female",2005,29000,10.2750511089686
"2503",179,0,"HS",0,"White","Female",2007,29000,10.2750511089686
